ID,Season,City,Date,Team-1,Team-2,Toss Winner,Toss Decision,Result,DL Applied,Winner,Win by Runs,Win by Wickets,Player of the Match,Venue,Umpire 1,Umpire 2,TV Umpire,Toss Win Match Win
505,2014,Chandigarh,5/21/2014,Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,normal,0,Mumbai Indians,0,7,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,Unknown,Match Won
506,2014,Kolkata,5/22/2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,normal,0,Kolkata Knight Riders,30,0,RV Uthappa,Eden Gardens,AK Chaudhary,CK Nandan,Unknown,Match Lost
507,2014,Ranchi,5/22/2014,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,normal,0,Sunrisers Hyderabad,0,6,DA Warner,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,Unknown,Match Won
508,2014,Mumbai,5/23/2014,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,normal,0,Mumbai Indians,15,0,MEK Hussey,Wankhede Stadium,S Ravi,RJ Tucker,Unknown,Match Lost
509,2014,Chandigarh,5/23/2014,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field,normal,0,Kings XI Punjab,16,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,PG Pathak,Unknown,Match Lost
510,2014,Bangalore,5/24/2014,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,normal,0,Chennai Super Kings,0,8,MS Dhoni,M Chinnaswamy Stadium,AK Chaudhary,NJ Llong,Unknown,Match Won
511,2014,Kolkata,5/24/2014,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,normal,0,Kolkata Knight Riders,0,4,YK Pathan,Eden Gardens,RM Deshpande,BNJ Oxenford,Unknown,Match Won
512,2014,Chandigarh,5/25/2014,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Field,normal,0,Kings XI Punjab,0,7,M Vohra,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,Unknown,Match Won
513,2014,Mumbai,5/25/2014,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Field,normal,0,Mumbai Indians,0,5,CJ Anderson,Wankhede Stadium,K Srinath,RJ Tucker,Unknown,Match Won
514,2014,Kolkata,5/27/2014,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Field,normal,0,Kolkata Knight Riders,28,0,UT Yadav,Eden Gardens,NJ Llong,S Ravi,Unknown,Match Lost
